time	V(n001)	I(R2)
15399569782e-07	3.056698e-15	0.000
09945770822e-07	3.124562e-15	0.000
81416214556e-07	3.134005e-15	0.000
55811317253e-07	3.140420e-15	0.000
89808470286e-07	3.147361e-15	0.000
96543309938e-07	3.156761e-15	0.000
73708013918e-07	3.175586e-15	0.000
05114849455e-07	3.255497e-15	0.000
39212052161e-07	3.318081e-15	0.000
70163492775e-07	3.387212e-15	0.000
50063713760e-07	3.462885e-15	0.000
58629877459e-07	3.508447e-15	0.000
14646126958e-07	3.519171e-15	0.000
45914058320e-07	3.526829e-15	0.000
73903864642e-07	3.533633e-15	0.000
51060813290e-07	3.541801e-15	0.000
27467350217e-07	3.560417e-15	0.000
86141847676e-07	3.638311e-15	0.000
22856990171e-07	3.699908e-15	0.000
49282229260e-06	3.772078e-15	0.000
69612825795e-06	3.854900e-15	0.000
89736248633e-06	3.907374e-15	0.000
31060211811e-06	3.921966e-15	0.000
26924148541e-06	3.931711e-15	0.000
95686053162e-06	3.938895e-15	0.000
91954806999e-06	3.947318e-15	0.000
19633603201e-06	3.965907e-15	0.000
88494522291e-06	4.044230e-15	0.000
72324773058e-06	4.108453e-15	0.000
30344591613e-06	4.181246e-15	0.000
02418922685e-06	4.267355e-15	0.000
12029180999e-06	4.347136e-15	0.000
74359182834e-06	4.358721e-15	0.000
77649132368e-06	4.366874e-15	0.000
56564611765e-06	4.375791e-15	0.000
85410266474e-06	4.388490e-15	0.000
61598592690e-06	4.411609e-15	0.000
35298593719e-06	4.452795e-15	0.000
43257045287e-06	4.507681e-15	0.000
84637936405e-06	4.581889e-15	0.000
34484292118e-06	4.662138e-15	0.000
30251204577e-06	4.737681e-15	0.000
76001311668e-06	4.791155e-15	0.000
09428237419e-06	4.805201e-15	0.000
42230686990e-06	4.815143e-15	0.000
02388169378e-06	4.823629e-15	0.000
89538531348e-06	4.833780e-15	0.000
34951298452e-06	4.855963e-15	0.000
49954902529e-06	4.946271e-15	0.000
81401878923e-06	5.017222e-15	0.000
99618674724e-06	5.099359e-15	0.000
03010593241e-06	5.194457e-15	0.000
35494723707e-06	5.255822e-15	0.000
13971625596e-06	5.273608e-15	0.000
33248961063e-06	5.285631e-15	0.000
47183750012e-06	5.294739e-15	0.000
82297402344e-06	5.305377e-15	0.000
44299458344e-06	5.328841e-15	0.000
62402956263e-06	5.421918e-15	0.000
19894638385e-06	5.495445e-15	0.000
52112507469e-06	5.579752e-15	0.000
76816317487e-06	5.677927e-15	0.000
88004573900e-06	5.766782e-15	0.000
44929737795e-06	5.780310e-15	0.000
75008912823e-06	5.790288e-15	0.000
55534498289e-06	5.801490e-15	0.000
24236669409e-06	5.820544e-15	0.000
78156011767e-06	5.904610e-15	0.000
09409801938e-06	5.972934e-15	0.000
11781839350e-06	6.059873e-15	0.000
44807068227e-06	6.155846e-15	0.000
66588864644e-06	6.212431e-15	0.000
60605373406e-06	6.274006e-15	0.000
63198141599e-06	6.291401e-15	0.000
01864865697e-06	6.303504e-15	0.000
11488119363e-06	6.314141e-15	0.000
39334422319e-06	6.326695e-15	0.000
98128936618e-06	6.353203e-15	0.000
58459322466e-06	6.458140e-15	0.000
20002045055e-06	6.539444e-15	0.000
50003654785e-06	6.632361e-15	0.000
70830230062e-06	6.741045e-15	0.000
11366966076e-06	6.810146e-15	0.000
38453598728e-06	6.829896e-15	0.000
70735126854e-06	6.843994e-15	0.000
