time	V(n001)	I(R2)
5.890752202191838e-07	1.430969e-15	7.531417e-17
5.936670298533569e-07	1.470613e-15	7.740069e-17
5.990068961578975e-07	1.514431e-15	7.970689e-17
6.071500658341519e-07	1.555533e-15	8.187017e-17
6.093781311531248e-07	1.560514e-15	8.213230e-17
6.112720244090449e-07	1.563481e-15	8.228850e-17
6.131375003342967e-07	1.565975e-15	8.241975e-17
6.150624870339744e-07	1.569150e-15	8.258684e-17
6.184415836530977e-07	1.577914e-15	8.304809e-17
6.260212487948620e-07	1.619221e-15	8.522217e-17
6.300943118162940e-07	1.653600e-15	8.703156e-17
6.347136735735526e-07	1.696524e-15	8.929073e-17
6.401294474101919e-07	1.743947e-15	9.178669e-17
6.481709982203947e-07	1.786745e-15	9.403923e-17
6.503806125350984e-07	1.792033e-15	9.431752e-17
6.522643891258791e-07	1.795270e-15	9.448788e-17
6.544576810547220e-07	1.798632e-15	9.466484e-17
6.565009358891413e-07	1.802663e-15	9.487697e-17
6.598622092586727e-07	1.813151e-15	9.542899e-17
6.674966229167333e-07	1.860877e-15	9.794090e-17
6.716513488022858e-07	1.899593e-15	9.997859e-17
6.763383631388475e-07	1.945999e-15	1.024210e-16
6.821781476193514e-07	1.998455e-15	1.051819e-16
6.874651840318264e-07	2.030233e-15	1.068544e-16
6.898401170422659e-07	2.038185e-15	1.072729e-16
6.919742450764696e-07	2.043150e-15	1.075342e-16
6.938116006894208e-07	2.046437e-15	1.077072e-16
6.959043613703152e-07	2.050254e-15	1.079081e-16
6.988623232248196e-07	2.057906e-15	1.083109e-16
7.062860777946826e-07	2.098238e-15	1.104336e-16
7.103352711363027e-07	2.134574e-15	1.123460e-16
7.147218181115541e-07	2.180676e-15	1.147724e-16
7.197224541965894e-07	2.233098e-15	1.175315e-16
7.235813565415026e-07	2.267976e-15	1.193672e-16
7.287354931373037e-07	2.298514e-15	1.209744e-16
7.311057033912889e-07	2.306529e-15	1.213963e-16
7.331716905309240e-07	2.311472e-15	1.216564e-16
7.350053964478878e-07	2.315010e-15	1.218426e-16
7.370501847178601e-07	2.319383e-15	1.220728e-16
7.405522764809679e-07	2.330477e-15	1.226567e-16
7.483015495034796e-07	2.380887e-15	1.253099e-16
7.524325020564394e-07	2.423025e-15	1.275276e-16
7.569598689734968e-07	2.474260e-15	1.302242e-16
7.623286254615702e-07	2.532193e-15	1.332733e-16
7.705323641771999e-07	2.587920e-15	1.362063e-16
7.727876964716367e-07	2.595171e-15	1.365880e-16
7.747322463322112e-07	2.599776e-15	1.368303e-16
7.769891478833812e-07	2.604549e-15	1.370815e-16
7.790305521234005e-07	2.609901e-15	1.373632e-16
7.824286207463849e-07	2.623420e-15	1.380747e-16
7.901047063498075e-07	2.682382e-15	1.411780e-16
7.942708973242974e-07	2.729412e-15	1.436532e-16
7.989669562479931e-07	2.785455e-15	1.466029e-16
8.048444530070924e-07	2.848973e-15	1.499460e-16
8.101405509808429e-07	2.887630e-15	1.519805e-16
8.125082610006283e-07	2.897506e-15	1.525003e-16
8.146593056093951e-07	2.903952e-15	1.528396e-16
8.165464944002985e-07	2.908472e-15	1.530775e-16
8.186691844838224e-07	2.913838e-15	1.533599e-16
8.220415531855613e-07	2.926094e-15	1.540050e-16
8.299113556234135e-07	2.982822e-15	1.569906e-16
8.341957654712741e-07	3.031828e-15	1.595699e-16
8.385794174144831e-07	3.087454e-15	1.624976e-16
8.440522618582780e-07	3.154038e-15	1.660020e-16
8.523057095731670e-07	3.218071e-15	1.693722e-16
8.545761213723642e-07	3.226658e-15	1.698241e-16
8.565481080216324e-07	3.232253e-15	1.701186e-16
8.588296055269486e-07	3.238091e-15	1.704258e-16
8.609320680904764e-07	3.244673e-15	1.707723e-16
8.643270937820295e-07	3.260491e-15	1.716048e-16
8.720381997319698e-07	3.327976e-15	1.751566e-16
8.762376559233275e-07	3.381293e-15	1.779628e-16
8.809390250783449e-07	3.443843e-15	1.812549e-16
8.869447759110220e-07	3.515602e-15	1.850317e-16
8.922796001549411e-07	3.558514e-15	1.872902e-16
8.946045471147386e-07	3.569232e-15	1.878543e-16
8.967466679566781e-07	3.576521e-15	1.882380e-16
8.986735110792098e-07	3.581963e-15	1.885244e-16
9.008015470945017e-07	3.588528e-15	1.888699e-16
9.043248956242610e-07	3.603988e-15	1.896836e-16
9.121534460275134e-07	3.670386e-15	1.931782e-16
9.163389710552343e-07	3.724555e-15	1.960292e-16
9.208748974627021e-07	3.788675e-15	1.994040e-16
9.263715398609900e-07	3.862058e-15	2.032662e-16
9.344609945200676e-07	3.929922e-15	2.068380e-16
9.367081415715202e-07	3.939365e-15	2.073350e-16
9.386755810882983e-07	3.945780e-15	2.076726e-16
9.409289808136358e-07	3.952720e-15	2.080379e-16
9.433796542442974e-07	3.962120e-15	2.085326e-16
9.466773707295134e-07	3.980945e-15	2.095234e-16
9.544805114014331e-07	4.060856e-15	2.137293e-16
9.588339210995617e-07	4.123440e-15	2.170232e-16
9.635570162394936e-07	4.192571e-15	2.206616e-16
9.694750065101408e-07	4.268243e-15	2.246444e-16
9.749058631563783e-07	4.313805e-15	2.270424e-16
9.771514647577187e-07	4.324530e-15	2.276068e-16
9.792345915439439e-07	4.332188e-15	2.280099e-16
9.813073906089830e-07	4.338991e-15	2.283680e-16
9.834451062931525e-07	4.347159e-15	2.287978e-16
9.868527469428577e-07	4.365775e-15	2.297776e-16
9.945986143858415e-07	4.443669e-15	2.338773e-16
9.988022859038182e-07	4.505265e-15	2.371192e-16
1.003449282465440e-06	4.577436e-15	2.409177e-16
1.009269613169925e-06	4.660257e-15	2.452767e-16
1.014589736588253e-06	4.712731e-15	2.480385e-16
1.017031060480630e-06	4.727323e-15	2.488065e-16
1.019226924407217e-06	4.737067e-15	2.493193e-16
1.021195686317854e-06	4.744252e-15	2.496975e-16
1.023391955057176e-06	4.752675e-15	2.501408e-16
1.026919634308002e-06	4.771263e-15	2.511191e-16
1.034888495156067e-06	4.849586e-15	2.552414e-16
1.039172325140208e-06	4.913810e-15	2.586216e-16
1.043630345257028e-06	4.986602e-15	2.624527e-16
1.049202419478985e-06	5.072711e-15	2.669848e-16
1.057312029551580e-06	5.152491e-15	2.711837e-16
1.059574359521966e-06	5.164076e-15	2.717935e-16
1.061577649451460e-06	5.172229e-15	2.722226e-16
1.063856564890002e-06	5.181146e-15	2.726919e-16
1.066485410873542e-06	5.193845e-15	2.733603e-16
1.069761599127006e-06	5.216964e-15	2.745770e-16
1.073735299277534e-06	5.258150e-15	2.767447e-16
1.077643257671489e-06	5.313035e-15	2.796334e-16
1.082084638704819e-06	5.387243e-15	2.835391e-16
1.086834485098358e-06	5.467492e-15	2.877627e-16
1.091930250783103e-06	5.543035e-15	2.917387e-16
1.097276000743297e-06	5.596508e-15	2.945531e-16
1.099609427772888e-06	5.610554e-15	2.952923e-16
1.101742230250819e-06	5.620496e-15	2.958156e-16
1.103802387657270e-06	5.628982e-15	2.962622e-16
1.105989538004335e-06	5.639133e-15	2.967965e-16
1.109434950837432e-06	5.661317e-15	2.979640e-16
1.117249954492096e-06	5.751623e-15	3.027170e-16
1.121481401457850e-06	5.822574e-15	3.064513e-16
1.126099618188903e-06	5.904711e-15	3.107743e-16
1.131903009863949e-06	5.999809e-15	3.157794e-16
1.137235494002754e-06	6.061174e-15	3.190092e-16
1.139713971071983e-06	6.078959e-15	3.199452e-16
1.141933248426782e-06	6.090983e-15	3.205780e-16
1.143947183197797e-06	6.100090e-15	3.210574e-16
1.146182296878963e-06	6.110729e-15	3.216173e-16
1.149844297895573e-06	6.134193e-15	3.228522e-16
1.157862401507190e-06	6.227269e-15	3.277510e-16
1.162119893756646e-06	6.300796e-15	3.316208e-16
1.166652110939443e-06	6.385102e-15	3.360580e-16
1.172276814926095e-06	6.483277e-15	3.412251e-16
1.180288003649653e-06	6.572132e-15	3.459017e-16
1.182544928894294e-06	6.585660e-15	3.466137e-16
1.184575008101022e-06	6.595638e-15	3.471388e-16
1.186855533778049e-06	6.606838e-15	3.477284e-16
1.189924234828817e-06	6.625892e-15	3.487312e-16
1.197478153308881e-06	6.709959e-15	3.531557e-16
1.201509406639254e-06	6.778282e-15	3.567517e-16
1.206011778660508e-06	6.865221e-15	3.613274e-16
1.211044802922146e-06	6.961193e-15	3.663786e-16
1.214466588509958e-06	7.017779e-15	3.693567e-16
1.219860603305976e-06	7.079354e-15	3.725976e-16
1.222263196327831e-06	7.096748e-15	3.735130e-16
1.224401863328579e-06	7.108851e-15	3.741501e-16
1.226511486289121e-06	7.119488e-15	3.747099e-16
1.228739332550245e-06	7.132042e-15	3.753706e-16
1.232198127293826e-06	7.158550e-15	3.767658e-16
1.240058457863683e-06	7.263486e-15	3.822887e-16
1.244320000552033e-06	7.344790e-15	3.865679e-16
1.248950001922043e-06	7.437707e-15	3.914582e-16
1.254870827582227e-06	7.546390e-15	3.971784e-16
1.260211364344872e-06	7.615491e-15	4.008153e-16
1.262638451511947e-06	7.635240e-15	4.018547e-16
1.264870733104927e-06	7.649339e-15	4.025968e-16
1.266946054914996e-06	7.660625e-15	4.031908e-16
1.269207794624465e-06	7.673773e-15	4.038828e-16
1.272771370662046e-06	7.701364e-15	4.053349e-16
1.280755015875156e-06	7.809270e-15	4.110142e-16
1.285042427012663e-06	7.893518e-15	4.154483e-16
1.289596896205300e-06	7.988793e-15	4.204628e-16
1.295355997930869e-06	8.100981e-15	4.263674e-16
1.303262699307277e-06	8.198590e-15	4.315048e-16
1.305513194406284e-06	8.214167e-15	4.323246e-16
1.307579831949299e-06	8.226246e-15	4.329603e-16
1.309866982920499e-06	8.240186e-15	4.336940e-16
1.313547583646794e-06	8.269623e-15	4.352433e-16
1.321647755808063e-06	8.382390e-15	4.411784e-16
1.325957136603942e-06	8.470117e-15	4.457957e-16
1.330484303844974e-06	8.568493e-15	4.509733e-16
1.336211949851247e-06	8.684805e-15	4.570950e-16
1.344167112019257e-06	8.788168e-15	4.625352e-16
1.346431684848977e-06	8.804804e-15	4.634107e-16
1.348513044974974e-06	8.817730e-15	4.640910e-16
1.350817199999291e-06	8.832556e-15	4.648714e-16
1.354438999115799e-06	8.862939e-15	4.664705e-16
1.362573309001009e-06	8.980314e-15	4.726481e-16
1.366934874261501e-06	9.072440e-15	4.774969e-16
1.371418646433580e-06	9.173462e-15	4.828138e-16
1.377187797199572e-06	9.295080e-15	4.892148e-16
1.385151539710862e-06	9.402948e-15	4.948920e-16
1.387421758718122e-06	9.420504e-15	4.958160e-16
1.389517172487938e-06	9.434268e-15	4.965405e-16
1.391831453500837e-06	9.450078e-15	4.973726e-16
1.395535919695625e-06	9.482935e-15	4.991019e-16
1.403674692540692e-06	9.606403e-15	5.056002e-16
1.408001769370674e-06	9.701484e-15	5.106044e-16
1.412536957029419e-06	9.807329e-15	5.161752e-16
1.418330253729303e-06	9.933297e-15	5.228050e-16
1.423687840354898e-06	1.001728e-14	5.272252e-16
1.426246606916305e-06	1.004371e-14	5.286164e-16
1.428514812177062e-06	1.006198e-14	5.295779e-16
1.430626934253582e-06	1.007658e-14	5.303464e-16
1.432944342120072e-06	1.009356e-14	5.312399e-16
1.436966067058249e-06	1.013183e-14	5.332544e-16
1.445099685342570e-06	1.026461e-14	5.402426e-16
1.449278792848371e-06	1.036066e-14	5.452977e-16
1.454022825659405e-06	1.047503e-14	5.513175e-16
1.459875707264555e-06	1.060395e-14	5.581028e-16
1.465230238622560e-06	1.068830e-14	5.625421e-16
1.467660327979974e-06	1.071312e-14	5.638485e-16
1.469927406248090e-06	1.073162e-14	5.648222e-16
1.472098197433209e-06	1.074730e-14	5.656472e-16
1.474422953110984e-06	1.076537e-14	5.665982e-16
1.477962338357293e-06	1.080128e-14	5.684886e-16
1.485975051580339e-06	1.093668e-14	5.756147e-16
1.490305537473592e-06	1.103980e-14	5.810423e-16
1.494904401055871e-06	1.115437e-14	5.870719e-16
1.500917555562459e-06	1.129144e-14	5.942862e-16
1.506280497358534e-06	1.137906e-14	5.988979e-16
1.508705609529431e-06	1.140485e-14	6.002554e-16
1.510978796479226e-06	1.142428e-14	6.012779e-16
1.513172344580742e-06	1.144097e-14	6.021562e-16
1.515511014054711e-06	1.146016e-14	6.031663e-16
1.519042926466217e-06	1.149790e-14	6.051526e-16
1.527059355149327e-06	1.163926e-14	6.125927e-16
1.531399097267401e-06	1.174640e-14	6.182317e-16
1.536009702927067e-06	1.186500e-14	6.244735e-16
1.542088744984732e-06	1.200748e-14	6.319727e-16
1.547465515603461e-06	1.209772e-14	6.367219e-16
1.549865108375227e-06	1.212395e-14	6.381025e-16
1.552140993129687e-06	1.214414e-14	6.391652e-16
1.554375497486612e-06	1.216200e-14	6.401056e-16
1.556732270684833e-06	1.218252e-14	6.411854e-16
1.560237066878954e-06	1.222227e-14	6.432773e-16
1.568239812893893e-06	1.237044e-14	6.510760e-16
1.572590167700588e-06	1.248197e-14	6.569459e-16
1.577229821516701e-06	1.260492e-14	6.634170e-16
1.583444784436844e-06	1.275363e-14	6.712438e-16
1.588910115377199e-06	1.284637e-14	6.761247e-16
1.591268643697462e-06	1.287233e-14	6.774909e-16
1.593528144493819e-06	1.289284e-14	6.785707e-16
1.596071952068053e-06	1.291428e-14	6.796987e-16
1.598423832146621e-06	1.293659e-14	6.808732e-16
1.601897568300699e-06	1.298003e-14	6.831595e-16
1.609871030295832e-06	1.313966e-14	6.915609e-16
1.614245627371481e-06	1.325723e-14	6.977487e-16
1.619005020170985e-06	1.338690e-14	7.045736e-16
1.624939760723310e-06	1.353012e-14	7.121114e-16
1.630447398173180e-06	1.362304e-14	7.170020e-16
1.632767276765710e-06	1.364850e-14	7.183419e-16
1.635011069645174e-06	1.366927e-14	7.194355e-16
1.637494623415428e-06	1.369150e-14	7.206054e-16
1.640317758017439e-06	1.372086e-14	7.221508e-16
1.647795366884255e-06	1.384670e-14	7.287736e-16
1.651712587353788e-06	1.394297e-14	7.338408e-16
1.656293049748831e-06	1.407228e-14	7.406461e-16
1.661116830818019e-06	1.420825e-14	7.478029e-16
1.665296430011601e-06	1.431268e-14	7.532989e-16
1.670591112879808e-06	1.440770e-14	7.582998e-16
1.673051944694151e-06	1.443766e-14	7.598771e-16
1.675313905502024e-06	1.446036e-14	7.610714e-16
1.677881833638866e-06	1.448417e-14	7.623246e-16
1.680210506266681e-06	1.450828e-14	7.635936e-16
1.683714186186518e-06	1.455553e-14	7.660808e-16
1.691709410494364e-06	1.472635e-14	7.750708e-16
1.696081446211203e-06	1.485126e-14	7.816450e-16
1.700844036848171e-06	1.498919e-14	7.889050e-16
1.706845005033726e-06	1.514336e-14	7.970189e-16
1.712370486939568e-06	1.524318e-14	8.022725e-16
1.714694370320203e-06	1.527080e-14	8.037263e-16
1.716959109999716e-06	1.529373e-14	8.049329e-16
1.719454169355595e-06	1.531835e-14	8.062290e-16
1.722410795277218e-06	1.535229e-14	8.080151e-16
1.729939540877639e-06	1.549096e-14	8.153138e-16
1.733841791049697e-06	1.559426e-14	8.207508e-16
1.738488961125385e-06	1.573414e-14	8.281126e-16
1.743344395008372e-06	1.587926e-14	8.357507e-16
1.747117399355349e-06	1.597908e-14	8.410043e-16
1.752450313242575e-06	1.608134e-14	8.463866e-16
1.754931023355448e-06	1.611412e-14	8.481114e-16
1.757202609957976e-06	1.613899e-14	8.494205e-16
1.759780978848570e-06	1.616521e-14	8.508008e-16
1.762151253725333e-06	1.619208e-14	8.522146e-16
1.765649540682541e-06	1.624337e-14	8.549142e-16
1.773669682765625e-06	1.642715e-14	8.645868e-16
1.778066489631310e-06	1.656077e-14	8.716193e-16
1.782839874765525e-06	1.670759e-14	8.793466e-16
1.788585180985821e-06	1.686470e-14	8.876157e-16
1.794087832599323e-06	1.697161e-14	8.932428e-16
1.796442992510205e-06	1.700223e-14	8.948545e-16
1.798727666418812e-06	1.702758e-14	8.961886e-16
1.801249489276541e-06	1.705476e-14	8.976188e-16
1.804170121231795e-06	1.709103e-14	8.995279e-16
1.811714426528774e-06	1.723904e-14	9.073178e-16
1.815627731459900e-06	1.734880e-14	9.130947e-16
1.820266226511223e-06	1.749663e-14	9.208752e-16
1.825121390797851e-06	1.765042e-14	9.289693e-16
1.828964682914695e-06	1.775844e-14	9.346547e-16
1.834277217263779e-06	1.786730e-14	9.403841e-16
1.836768444713609e-06	1.790283e-14	9.422545e-16
1.839059754164257e-06	1.793012e-14	9.436905e-16
1.841653730282702e-06	1.795896e-14	9.452082e-16
1.844082195831824e-06	1.798899e-14	9.467889e-16
1.847570370028195e-06	1.804449e-14	9.497099e-16
1.855619516845756e-06	1.824201e-14	9.601058e-16
1.860048404302422e-06	1.838490e-14	9.676262e-16
1.864832594402646e-06	1.854080e-14	9.758315e-16
1.870286264891739e-06	1.869915e-14	9.841657e-16
1.875761376190838e-06	1.881328e-14	9.901724e-16
1.878149884177204e-06	1.884715e-14	9.919552e-16
1.880453730042955e-06	1.887507e-14	9.934247e-16
1.883002893264197e-06	1.890494e-14	9.949968e-16
1.885878439231444e-06	1.894343e-14	9.970226e-16
1.893438351473306e-06	1.910081e-14	1.005306e-15
1.897364392679329e-06	1.921714e-14	1.011429e-15
1.901990203851234e-06	1.937286e-14	1.019624e-15
1.906843208665201e-06	1.953543e-14	1.028181e-15
1.910784508296959e-06	1.965289e-14	1.034363e-15
1.916074781417149e-06	1.976845e-14	1.040445e-15
1.918575632405893e-06	1.980685e-14	1.042466e-15
1.920887049426912e-06	1.983668e-14	1.044036e-15
1.923496618925430e-06	1.986827e-14	1.045698e-15
1.925984174131668e-06	1.990172e-14	1.047459e-15
1.929462368000770e-06	1.996159e-14	1.050610e-15
1.937540886047880e-06	2.017337e-14	1.061756e-15
1.942002325813038e-06	2.032583e-14	1.069781e-15
1.946798473971376e-06	2.049101e-14	1.078474e-15
1.951978663245684e-06	2.065027e-14	1.086856e-15
1.957428488813693e-06	2.077171e-14	1.093248e-15
1.959847695336650e-06	2.080894e-14	1.095207e-15
1.962170043278382e-06	2.083955e-14	1.096818e-15
1.964744342511985e-06	2.087226e-14	1.098540e-15
1.967594043884241e-06	2.091332e-14	1.100701e-15
1.975174434507911e-06	2.108085e-14	1.109519e-15
1.979110407175646e-06	2.120399e-14	1.116000e-15
1.983732117558136e-06	2.136808e-14	1.124636e-15
1.988586626405238e-06	2.153968e-14	1.133667e-15
1.992573834723836e-06	2.166529e-14	1.140278e-15
1.997878517153891e-06	2.178840e-14	1.146758e-15
2.000384910436825e-06	2.182963e-14	1.148928e-15
2.002713172203687e-06	2.186205e-14	1.150634e-15
2.005333356896523e-06	2.189647e-14	1.152446e-15
2.007899914470250e-06	2.193394e-14	1.154418e-15
2.011360222921343e-06	2.199834e-14	1.157807e-15
2.015478205332263e-06	2.209993e-14	1.163154e-15
2.019470943612810e-06	2.222538e-14	1.169757e-15
2.023973379276223e-06	2.238810e-14	1.178321e-15
2.028784808423005e-06	2.256286e-14	1.187519e-15
2.033643811079368e-06	2.272062e-14	1.195822e-15
2.039062351963471e-06	2.284937e-14	1.202599e-15
2.041514570735570e-06	2.289024e-14	1.204749e-15
2.043854485848663e-06	2.292367e-14	1.206509e-15
2.046454212048419e-06	2.295938e-14	1.208388e-15
2.049271867334233e-06	2.300294e-14	1.210681e-15
2.056873287939741e-06	2.318077e-14	1.220040e-15
2.060820439868033e-06	2.331085e-14	1.226887e-15
