time	V(n001)
4.960751268450833e-01	2.232147e+01
4.960751318740038e-01	2.232147e+01
4.960751361681955e-01	2.232147e+01
4.960751409751352e-01	2.232147e+01
4.960751465097741e-01	2.232147e+01
4.960751539801042e-01	2.232147e+01
4.960751587207241e-01	2.232147e+01
4.960751638619774e-01	2.232147e+01
4.960751733237067e-01	2.232147e+01
4.960751783598193e-01	2.232147e+01
4.960751839295495e-01	2.232147e+01
4.960751885530217e-01	2.232147e+01
4.960751924889176e-01	2.232147e+01
4.960751973149305e-01	2.232147e+01
4.960752023596278e-01	2.232147e+01
4.960752067872760e-01	2.232147e+01
4.960752115324304e-01	2.232147e+01
4.960752171487909e-01	2.232147e+01
4.960752283784744e-01	2.232147e+01
4.960752329843943e-01	2.232147e+01
4.960752380384991e-01	2.232147e+01
4.960752424423958e-01	2.232147e+01
4.960752472125360e-01	2.232147e+01
4.960752528288174e-01	2.232147e+01
4.960752642047060e-01	2.232147e+01
4.960752689028599e-01	2.232147e+01
4.960752739854402e-01	2.232147e+01
4.960752783686752e-01	2.232147e+01
4.960752831891697e-01	2.232147e+01
4.960752888035176e-01	2.232147e+01
4.960752960942139e-01	2.232147e+01
4.960753007553253e-01	2.232147e+01
4.960753058225571e-01	2.232147e+01
4.960753153503373e-01	2.232147e+01
4.960753203724682e-01	2.232147e+01
4.960753259898186e-01	2.232147e+01
4.960753311039242e-01	2.232147e+01
4.960753352093860e-01	2.232147e+01
4.960753401405993e-01	2.232147e+01
4.960753452851906e-01	2.232147e+01
4.960753497019205e-01	2.232147e+01
4.960753545609154e-01	2.232147e+01
4.960753602118627e-01	2.232147e+01
4.960753677350205e-01	2.232147e+01
4.960753725692135e-01	2.232147e+01
4.960753784125466e-01	2.232147e+01
4.960753882487404e-01	2.232147e+01
4.960753937309739e-01	2.232147e+01
4.960753995220190e-01	2.232147e+01
4.960754036323267e-01	2.232147e+01
4.960754076946227e-01	2.232147e+01
4.960754129793295e-01	2.232147e+01
4.960754236353289e-01	2.232147e+01
4.960754290488896e-01	2.232147e+01
4.960754348420020e-01	2.232147e+01
4.960754390072827e-01	2.232147e+01
4.960754430698693e-01	2.232147e+01
4.960754484092976e-01	2.232147e+01
4.960754588041226e-01	2.232147e+01
4.960754641115613e-01	2.232147e+01
4.960754698807246e-01	2.232147e+01
4.960754741607152e-01	2.232147e+01
4.960754782098705e-01	2.232147e+01
4.960754836569319e-01	2.232147e+01
4.960754935486785e-01	2.232147e+01
4.960754986493858e-01	2.232147e+01
4.960755043734069e-01	2.232147e+01
4.960755091318569e-01	2.232147e+01
4.960755132290120e-01	2.232147e+01
4.960755189011414e-01	2.232147e+01
4.960755240723491e-01	2.232147e+01
4.960755285432147e-01	2.232147e+01
4.960755336255437e-01	2.232147e+01
4.960755393539180e-01	2.232147e+01
4.960755447566184e-01	2.232147e+01
4.960755490223294e-01	2.232147e+01
4.960755547972045e-01	2.232147e+01
4.960755644575713e-01	2.232147e+01
4.960755696319967e-01	2.232147e+01
4.960755753829339e-01	2.232147e+01
4.960755802622855e-01	2.232147e+01
4.960755844193721e-01	2.232147e+01
4.960755901206034e-01	2.232147e+01
4.960755998644550e-01	2.232147e+01
4.960756050186146e-01	2.232147e+01
4.960756107844498e-01	2.232147e+01
4.960756157969806e-01	2.232147e+01
4.960756199995082e-01	2.232147e+01
4.960756257344412e-01	2.232147e+01
4.960756355148226e-01	2.232147e+01
4.960756407092513e-01	2.232147e+01
4.960756464953610e-01	2.232147e+01
4.960756513370104e-01	2.232147e+01
4.960756555155608e-01	2.232147e+01
4.960756612313236e-01	2.232147e+01
4.960756710799230e-01	2.232147e+01
4.960756762895742e-01	2.232147e+01
4.960756820944786e-01	2.232147e+01
4.960756868791592e-01	2.232147e+01
4.960756910599772e-01	2.232147e+01
4.960756967765662e-01	2.232147e+01
4.960757066835025e-01	2.232147e+01
4.960757119188016e-01	2.232147e+01
4.960757177437346e-01	2.232147e+01
4.960757224306240e-01	2.232147e+01
4.960757266049912e-01	2.232147e+01
4.960757323146174e-01	2.232147e+01
4.960757422881460e-01	2.232147e+01
4.960757475470354e-01	2.232147e+01
